City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,dzhebariki-khaya,62.2167,135.8,66.85,70,8,1.68,RU,1659113059
249,codrington,-38.2667,141.9667,38.34,89,33,9.46,AU,1659113059
250,jalingo,8.8833,11.3667,75.97,83,90,4.76,NG,1659113059
251,imbituba,-28.24,-48.6703,66.85,50,5,14.0,BR,1659113060
252,marystown,47.1666,-55.1483,66.85,100,99,1.99,CA,1659113060
253,sabzevar,36.2126,57.6819,88.88,33,40,11.5,IR,1659113060
254,westport,41.1415,-73.3579,87.73,62,0,9.22,US,1659112950
255,ikom,5.9667,8.7063,74.3,95,93,0.94,NG,1659113061
256,kerouane,9.2667,-9.0167,76.08,84,100,4.41,GN,1659113061
257,aklavik,68.2191,-135.0107,44.6,93,100,5.75,CA,1659112924
258,qaqortoq,60.7167,-46.0333,51.13,69,31,9.17,GL,1659113061
259,esik,43.3552,77.4525,74.62,56,92,7.45,KZ,1659113061
260,soubre,5.7856,-6.6083,86.41,48,72,2.53,CI,1659113062
261,sobolevo,54.4299,31.8996,61.11,80,26,5.99,RU,1659113062
262,kudahuvadhoo,2.6708,72.8944,81.72,77,78,13.87,MV,1659113062
263,karratha,-20.7377,116.8463,68.72,49,4,5.93,AU,1659113063
264,nakhon thai,17.1006,100.8374,77.0,89,94,1.86,TH,1659113063
265,khanpur,28.6453,70.6567,90.81,59,100,14.76,PK,1659113063
266,darnah,32.767,22.6367,80.89,73,0,16.67,LY,1659113063
267,columbus,39.9612,-82.9988,82.53,57,75,3.44,US,1659112792
268,alice springs,-23.7,133.8833,44.15,42,65,3.44,AU,1659113064
269,rayong,12.8333,101.4333,85.8,99,44,5.06,TH,1659113064
270,vila franca do campo,37.7167,-25.4333,79.21,66,25,1.66,PT,1659113064
271,verkhozim,52.7122,45.418,67.01,90,75,7.16,RU,1659113065
272,deniliquin,-35.5333,144.9667,38.17,82,14,2.59,AU,1659113065
273,vangaindrano,-23.35,47.6,66.52,89,52,0.74,MG,1659113065
274,diffa,13.3154,12.6113,92.97,37,41,9.51,NE,1659113066
275,harper,4.375,-7.7169,78.64,61,77,6.78,LR,1659113066
276,cabo san lucas,22.8909,-109.9124,92.17,39,20,8.05,MX,1659112934
277,kannangad,12.3081,75.1063,80.08,90,98,7.16,IN,1659113066
278,bunia,1.5667,30.25,63.72,94,71,1.25,CD,1659113066
279,sorada,19.75,84.4333,83.68,81,96,0.85,IN,1659113067
280,ghanzi,-21.5667,21.7833,66.56,27,2,7.27,BW,1659113067
281,cockburn town,21.4612,-71.1419,84.16,65,40,14.97,TC,1659113067
282,castro,-24.7911,-50.0119,62.53,43,43,10.4,BR,1659113068
283,meulaboh,4.1363,96.1285,77.76,82,99,2.48,ID,1659113068
284,kaniama,-7.5667,24.1833,78.26,25,15,3.09,CD,1659113068
285,west richland,46.3043,-119.3614,98.82,33,0,3.44,US,1659113068
286,esperance,-33.8667,121.9,55.24,69,9,24.65,AU,1659113069
287,emba,48.8264,58.1442,71.42,58,62,7.02,KZ,1659113069
288,zhanakorgan,43.9098,67.2495,77.79,37,4,7.72,KZ,1659113069
289,farmington,36.7281,-108.2187,63.28,94,100,9.22,US,1659112834
290,thung song,8.1645,99.6804,75.31,96,83,3.6,TH,1659113070
291,great falls,47.5002,-111.3008,90.41,29,0,8.05,US,1659113070
292,khandbari,27.3747,87.2039,73.09,92,87,0.2,NP,1659113070
293,bud,39.447,-86.1758,79.32,53,30,8.46,US,1659113071
294,lavrentiya,65.5833,-171.0,44.67,84,98,6.2,RU,1659113071
295,daigo,36.7667,140.35,73.04,95,1,1.74,JP,1659113071
296,biak,-0.9131,122.8766,74.53,89,99,6.22,ID,1659113071
297,hami,42.8,93.45,88.38,19,98,15.68,CN,1659113072
298,labuhan,-6.8844,112.2051,76.48,82,100,6.49,ID,1659113072
299,morant bay,17.8815,-76.4093,89.71,65,35,13.35,JM,1659113072
300,mandurah,-32.55,115.7,54.91,64,100,26.46,AU,1659113073
301,vallam,10.7167,79.0833,84.25,75,92,11.27,IN,1659113073
302,cidreira,-30.1811,-50.2056,55.26,76,97,21.56,BR,1659113073
303,portland,45.5234,-122.6762,85.57,63,0,6.91,US,1659113022
304,ossora,59.2353,163.0719,50.61,86,100,12.59,RU,1659113074
305,quatre cocos,-20.2078,57.7625,69.91,75,12,12.88,MU,1659113074
306,acapulco,16.8634,-99.8901,80.42,78,75,5.75,MX,1659112910
307,berbera,10.4396,45.0143,93.18,43,7,4.23,SO,1659113074
308,dunedin,-45.8742,170.5036,38.8,78,2,1.01,NZ,1659113075
309,illapel,-31.6308,-71.1653,68.4,33,100,4.88,CL,1659113075
310,buchanan,5.8808,-10.0467,79.21,61,62,7.54,LR,1659113075
311,caravelas,-17.7125,-39.2481,81.07,54,0,10.38,BR,1659113076
312,ilulissat,69.2167,-51.1,51.82,58,75,6.91,GL,1659113076
313,plan-de-cuques,43.3475,5.464,88.23,42,56,14.0,FR,1659113076
314,maceio,-9.6658,-35.7353,83.64,69,75,8.05,BR,1659112815
315,luderitz,-26.6481,15.1594,56.77,69,47,8.59,NA,1659113076
316,kabalo,-6.05,26.9167,84.88,30,71,4.52,CD,1659113077
317,khandyga,62.6667,135.6,67.26,69,8,1.39,RU,1659113077
318,evensk,61.95,159.2333,49.5,75,97,12.41,RU,1659113077
319,te anau,-45.4167,167.7167,32.9,92,34,1.39,NZ,1659113078
320,hamilton,39.1834,-84.5333,82.67,59,40,8.05,US,1659113034
321,shuangcheng,45.35,126.2833,71.28,98,90,5.14,CN,1659113078
322,brasilia de minas,-16.2064,-44.4333,84.27,22,32,6.76,BR,1659113078
323,benguela,-12.5763,13.4055,69.15,84,72,6.26,AO,1659113079
324,bonfim,3.0833,-59.95,74.07,92,100,1.7,BR,1659113079
325,sai buri,6.7013,101.6168,78.13,89,45,4.25,TH,1659113079
326,nanfeng,23.7434,111.7959,80.44,73,100,2.66,CN,1659113079
327,trairi,-3.2778,-39.2689,86.29,53,89,13.78,BR,1659112811
328,wote,-1.7808,37.6288,67.1,71,100,7.74,KE,1659113080
329,tautira,-17.7333,-149.15,77.95,67,44,25.14,PF,1659113080
330,dengzhou,37.8086,120.7508,75.27,91,100,6.71,CN,1659113080
331,provideniya,64.3833,-173.3,46.67,85,96,10.36,RU,1659113081
332,savannah bight,16.45,-85.85,81.59,76,3,12.17,HN,1659113081
333,chapadinha,-3.7417,-43.3603,87.1,54,50,0.72,BR,1659113081
334,kribi,2.95,9.9167,75.99,88,95,7.94,CM,1659113081
335,bodo,67.28,14.405,64.94,70,20,9.22,NO,1659113082
336,preobrazheniye,42.9019,133.9064,69.31,88,94,7.02,RU,1659113082
337,kyzyl-suu,42.3414,78.0056,63.73,70,100,1.45,KG,1659113082
338,pasinler,39.9803,41.6764,81.59,38,0,6.87,TR,1659113083
339,tecpan,14.7623,-90.9947,62.89,53,96,3.78,GT,1659113083
340,ixtapa,20.7,-105.2,85.23,70,20,5.01,MX,1659113083
341,roald,62.5833,6.1333,67.15,72,40,6.91,NO,1659113083
342,coihaique,-45.5752,-72.0662,47.01,76,75,8.05,CL,1659113084
343,zyryanka,65.75,150.85,51.87,55,24,8.39,RU,1659113084
344,sept-iles,50.2001,-66.3821,57.72,99,100,20.71,CA,1659113044
345,mersing,2.4312,103.8405,73.31,94,40,3.44,MY,1659113084
346,taltal,-25.4,-70.4833,62.82,68,53,3.94,CL,1659113085
347,boca do acre,-8.7522,-67.3978,96.73,25,2,2.82,BR,1659113085
348,dongsheng,39.8161,109.9776,72.63,40,42,18.39,CN,1659113085
349,chardara,41.2547,67.9692,82.24,38,7,13.67,KZ,1659113086
350,octeville,49.6261,-1.6435,73.89,49,0,4.61,FR,1659113086
351,talcher,20.95,85.2167,85.87,71,96,2.24,IN,1659113086
352,awbari,26.5921,12.7805,99.18,8,0,11.63,LY,1659113086
353,taos,36.4072,-105.5731,69.21,74,0,4.61,US,1659113087
354,lata,40.1629,-8.3327,83.48,50,0,10.96,PT,1659113087
355,xiaolingwei,32.0333,118.85,80.58,89,94,6.06,CN,1659113087
356,the valley,18.217,-63.0578,87.66,66,40,16.11,AI,1659112891
357,murray bridge,-35.1167,139.2667,51.12,86,6,11.97,AU,1659113088
358,iskilip,40.7353,34.4739,74.98,37,0,8.61,TR,1659113088
359,kiunga,-6.1219,141.2906,73.76,99,100,3.74,PG,1659113088
360,san carlos,9.6612,-68.5827,88.57,58,73,2.8,VE,1659113089
361,nishihara,26.1842,127.7558,83.48,84,75,6.91,JP,1659113089
362,puerto escondido,15.85,-97.0667,85.91,65,52,4.23,MX,1659113089
363,miramar,25.9873,-80.2323,92.01,66,20,18.41,US,1659112861
364,paita,-5.0892,-81.1144,68.92,70,7,13.8,PE,1659113089
365,keti bandar,24.1447,67.4497,81.73,81,82,17.2,PK,1659113090
366,itigi,-5.7,34.4833,72.99,41,92,6.02,TZ,1659113090
367,san cristobal,7.7669,-72.225,77.18,51,65,7.94,VE,1659113090
